iter	Passed	Remaining
0	1	147
1	2	136
2	3	128
3	4	118
4	6	117
5	7	119
6	8	117
7	10	115
8	11	113
9	12	111
10	13	110
11	14	109
12	16	107
13	17	105
14	18	104
15	19	103
16	20	101
17	22	101
18	23	99
19	24	98
20	25	97
21	26	95
22	28	94
23	29	93
24	30	91
25	31	90
26	33	89
27	34	87
28	35	86
29	36	85
30	37	84
31	39	83
32	40	82
33	41	80
34	42	79
35	44	78
36	45	76
37	46	75
38	47	74
39	48	73
40	49	71
41	50	69
42	51	68
43	53	67
44	54	66
45	55	65
46	56	63
47	57	62
48	58	61
49	60	60
50	61	58
51	62	57
52	63	56
53	64	55
54	65	53
55	67	52
56	68	51
57	69	50
58	70	49
59	71	47
60	73	46
61	74	45
62	75	44
63	76	43
64	77	41
65	79	40
66	80	39
67	81	38
68	83	37
69	84	36
70	85	34
71	86	33
72	87	32
73	89	31
74	90	30
75	91	28
76	92	27
77	93	26
78	95	25
79	96	24
80	97	22
81	98	21
82	99	20
83	101	19
84	102	18
85	103	16
86	104	15
87	105	14
88	107	13
89	108	12
90	109	10
91	110	9
92	112	8
93	113	7
94	114	6
95	115	4
96	116	3
97	117	2
98	119	1
99	120	0
