iter	Passed	Remaining
0	154	154762
1	156	78233
2	158	52555
3	159	39677
4	160	31962
5	162	26851
6	164	23397
7	166	20645
8	167	18492
9	169	16785
10	170	15360
11	172	14168
12	173	13159
13	177	12488
14	178	11732
15	179	11063
16	181	10476
17	182	9950
18	183	9478
19	184	9060
20	186	8688
21	187	8339
22	188	8022
23	193	7876
24	195	7614
25	196	7362
26	197	7131
27	199	6919
28	200	6715
29	201	6529
30	203	6350
31	206	6261
32	208	6104
33	209	5954
34	210	5812
35	212	5677
36	213	5550
37	214	5430
38	215	5316
39	217	5208
40	223	5234
41	225	5152
42	227	5066
43	229	4977
44	230	4893
45	231	4808
46	236	4789
47	237	4713
48	238	4637
49	240	4570
50	241	4499
51	243	4431
52	244	4364
53	245	4302
54	250	4300
55	252	4258
56	254	4203
57	255	4151
58	260	4149
59	261	4094
60	262	4041
61	263	3990
62	264	3940
63	266	3894
64	267	3850
65	268	3806
66	270	3763
67	271	3726
68	275	3715
69	276	3678
70	278	3640
71	279	3606
72	281	3569
73	282	3534
74	283	3498
75	284	3464
76	288	3452
77	289	3418
78	290	3386
79	291	3354
80	292	3323
81	294	3292
82	294	3256
83	296	3229
84	297	3201
85	298	3173
86	305	3203
87	306	3180
88	308	3156
89	310	3137
90	311	3113
91	312	3088
92	315	3072
93	316	3051
94	317	3028
95	319	3005
96	320	2982
97	321	2959
98	322	2937
99	323	2915
100	325	2894
101	326	2873
102	327	2854
103	332	2862
104	333	2845
105	335	2825
106	336	2809
107	338	2793
108	339	2774
109	340	2756
110	341	2738
111	346	2744
112	347	2726
113	348	2709
114	349	2691
115	350	2674
116	351	2655
117	353	2638
118	354	2623
119	355	2607
120	356	2592
121	358	2579
122	362	2581
123	363	2568
124	365	2555
125	367	2550
126	369	2538
127	375	2559
128	379	2562
129	380	2549
130	382	2535
131	384	2526
132	385	2515
133	388	2508
134	394	2528
135	396	2520
136	398	2512
137	400	2500
138	404	2506
139	406	2495
140	407	2483
141	408	2469
142	410	2457
143	411	2446
144	412	2434
145	414	2425
146	416	2414
147	417	2406
148	421	2407
149	423	2399
150	425	2390
151	427	2382
152	428	2374
153	430	2365
154	434	2368
155	436	2359
156	437	2349
157	439	2340
158	440	2329
159	444	2334
160	445	2322
161	448	2322
162	452	2322
163	456	2325
164	458	2318
165	459	2308
166	460	2298
167	468	2320
168	471	2319
169	473	2310
170	475	2305
171	476	2295
172	489	2338
173	491	2334
174	493	2325
175	496	2322
176	497	2314
177	499	2305
178	500	2295
179	502	2289
180	503	2280
181	508	2284
182	510	2277
183	512	2273
184	520	2293
185	522	2284
186	523	2275
187	524	2266
188	526	2258
189	527	2249
190	533	2257
191	537	2260
192	540	2259
193	541	2250
194	543	2241
195	549	2253
196	551	2246
197	553	2243
198	555	2236
199	557	2228
200	558	2219
201	569	2249
202	571	2243
203	573	2236
204	574	2228
205	581	2242
206	584	2237
207	585	2230
208	587	2221
209	588	2212
210	589	2204
211	602	2238
212	603	2231
213	605	2225
214	610	2229
215	612	2222
216	618	2233
217	621	2230
218	626	2233
219	630	2233
220	631	2225
221	639	2241
222	640	2233
223	642	2225
224	643	2216
225	644	2208
226	646	2199
227	647	2191
228	655	2208
229	658	2205
230	660	2198
231	661	2191
232	669	2202
233	670	2195
234	672	2187
235	673	2180
236	674	2172
237	676	2165
238	677	2157
239	682	2160
240	684	2157
241	686	2150
242	687	2143
243	689	2136
244	690	2128
245	691	2120
246	697	2125
247	698	2117
248	699	2110
249	700	2102
250	702	2095
251	703	2087
252	704	2079
253	705	2072
254	706	2065
255	708	2057
256	712	2061
257	714	2055
258	716	2048
259	717	2042
260	718	2035
261	720	2028
262	721	2021
263	722	2014
264	726	2016
265	728	2009
266	729	2002
267	730	1995
268	731	1988
269	732	1981
270	734	1974
271	735	1967
272	736	1961
273	737	1954
274	741	1954
275	744	1952
276	745	1946
277	747	1940
278	748	1934
279	749	1928
280	751	1921
281	752	1915
282	755	1915
283	757	1910
284	759	1905
285	761	1900
286	762	1895
287	764	1889
288	765	1883
289	766	1877
290	768	1872
291	773	1875
292	775	1870
293	776	1864
294	777	1858
295	779	1853
296	780	1847
297	781	1841
298	782	1835
299	787	1836
300	788	1830
301	789	1825
302	790	1819
303	792	1813
304	793	1807
305	794	1801
306	795	1795
307	796	1790
308	798	1784
309	804	1790
310	805	1785
311	807	1779
312	808	1774
313	809	1769
314	810	1763
315	812	1757
316	816	1759
317	817	1754
318	819	1748
319	820	1743
